Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,Heading,Distance,Camera Height,Camera Angle,"D01
(1%)","D05
(5%)","D10
(10%)","D20
(20%)","D25
(25%)","D50
(50%)","D75
(75%","D80
(80%)","D90
(90%)","D95
(95%)","D99
(99%)",0.1 mm,0.147 mm,0.215 mm,0.316 mm,0.464 mm,0.681 mm,1 mm,1.47 mm,2.15 mm,3.16 mm,4.64 mm,6.81 mm,10 mm,14.7 mm,21.5 mm,31.6 mm,46.4 mm,68.1 mm,100 mm,147 mm,215 mm,316 mm,464 mm,681 mm,1000 mm,All In Spec,0.1 mm Sph,0.147 mm Sph,0.215 mm Sph,0.316 mm Sph,0.464 mm Sph,0.681 mm Sph,1 mm Sph,1.47 mm Sph,2.15 mm Sph,3.16 mm Sph,4.64 mm Sph,6.81 mm Sph,10 mm Sph,14.7 mm Sph,21.5 mm Sph,31.6 mm Sph,46.4 mm Sph,68.1 mm Sph,100 mm Sph,147 mm Sph,215 mm Sph,316 mm Sph,464 mm Sph,681 mm Sph,1000 mm Sph,Sphericity,CID 1,CID 2,Scale Factor,Scale Slope,Scale Intercept,Particles,Coverage,Edit Time,Profile Name,Threshold,Valley Threshold,Blur,Search Dark,Search Radius,Window Size,n,Xc,b,Xmax,X50,n Adj,Xc Adj,b Adj,Xmax Adj,X50 Adj,Height,Burden,Spacing,Diameter,Rock Factor,Accuracy,Strength,Density,Num Data Points,Blast  Name,
,,,,,,,,,,,,,(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(mm),(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,7,19,13,44,46,-,-,-,-,-,-,-,14.80,31.70,45.00,78.80,95.70,213.00,544.00,571.00,626.00,654.00,676.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.08%,0.18%,0.40%,0.98%,2.37%,4.95%,10.50%,16.80%,26.30%,36.30%,50.50%,60.50%,60.50%,100.00%,100.00%,1,0,0,0,0,0,0,0,0,0.7,0.87,0.73,0.63,0.61,0.59,0.61,0.64,0.67,0.67,0.63,0.64,0.56,0,0.48,0,0,0.67,0,0,599.00,-,-,633,0.42,270,Profile 1,-50,-2,2,15,15,20,1.0467,479.00,1.99,623.00,213.00,-,-,-,-,-,-,-,-,-,-,-,-,1.18,1,201,
2021,7,19,13,39,44,-,-,-,-,-,-,-,47.50,69.70,81.20,103.00,111.00,156.00,231.00,248.00,282.00,299.00,313.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.04%,0.06%,0.06%,0.06%,0.12%,0.82%,4.30%,18.20%,47.00%,70.10%,100.00%,100.00%,100.00%,100.00%,1,0,0,0,0,0,0,0,0,0.76,0,0.86,0.76,0,0,0.37,0.61,0.7,0.72,0.68,0.65,0.72,0,0,0,0,0.72,0,0,482.00,-,-,81,0.13,486,Profile 1,-30,-3,2,15,15,20,2.7161,195.00,2.77,315.00,156.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,202,
2021,7,19,13,44,12,-,-,-,-,-,-,-,38.80,70.20,82.30,114.00,140.00,233.00,306.00,326.00,395.00,430.00,457.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.06%,0.11%,0.16%,0.21%,0.37%,0.91%,1.10%,4.13%,17.40%,26.40%,44.00%,78.50%,100.00%,100.00%,100.00%,1,0,0,0,0,0,0,0,0,0.79,0.8,0.92,0.44,0.35,0.59,0.29,0.67,0.72,0.72,0.74,0.73,0.72,0.66,0,0,0,0.72,0,0,487.00,-,-,133,0.15,486,Profile 1,-60,-2,2,15,15,20,2.0676,271.00,1.57,340.00,233.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,203,
2021,7,19,13,33,0,-,-,-,-,-,-,-,11.70,24.70,33.60,47.00,52.80,80.60,114.00,124.00,145.00,178.00,208.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.19%,0.32%,0.68%,1.59%,3.41%,8.49%,19.50%,38.00%,68.50%,90.70%,100.00%,100.00%,100.00%,100.00%,100.00%,1,0,0,0,0,0,0,0,0,0.67,0.84,0.62,0.62,0.58,0.58,0.64,0.67,0.71,0.68,0.72,0.65,0,0,0,0,0,0.67,0,0,607.00,-,-,371,0.13,591,Profile 1,-60,-3,2,15,15,20,2.2351,94.40,2.71,171.00,80.60,-,-,-,-,-,-,-,-,-,-,-,-,-,1,204,
2021,7,19,13,28,24,-,-,-,-,-,-,-,12.20,22.80,33.00,52.80,62.30,118.00,178.00,192.00,230.00,273.00,307.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,0.13%,0.29%,0.59%,1.45%,4.39%,9.29%,16.60%,28.00%,41.40%,64.00%,88.30%,100.00%,100.00%,100.00%,100.00%,1,0,0,0,0,0,0,0,0.67,0,0.84,0.69,0.58,0.58,0.59,0.63,0.64,0.71,0.75,0.79,0.63,0.81,0,0,0,0,0.67,0,0,643.00,-,-,392,0.18,273,Profile 1,-60,-3,2,15,15,20,1.776,145.00,2.32,281.00,118.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,205,
2021,7,19,19,7,49,-,-,-,-,-,-,-,95.80,220.00,365.00,565.00,638.00,1030.00,1490.00,1590.00,1770.00,1870.00,1940.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.03%,0.08%,0.13%,0.25%,0.46%,1.08%,2.37%,4.84%,8.44%,13.10%,27.90%,48.70%,1,0,0,0,0,0,0,0,0,0,0,0,0.67,0.74,0.76,0.73,0.69,0.59,0.6,0.58,0.6,0.58,0.6,0.61,0.65,0.58,0.66,0,0,105.00,0.12,46.40,807,0.48,386,Profile 1,-60,-3,2,15,15,20,1.8028,1270.00,2.33,1960.00,1030.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,207,
2021,7,19,13,34,48,-,-,-,-,-,-,-,54.70,118.00,180.00,319.00,369.00,574.00,828.00,902.00,1050.00,1140.00,1200.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.10%,0.17%,0.31%,0.69%,1.50%,3.63%,7.24%,12.90%,19.70%,34.50%,65.00%,86.70%,1,0,0,0,0,0,0,0,0,0,0,0,0.63,0.87,0.68,0.59,0.54,0.54,0.57,0.56,0.55,0.5,0.61,0.6,0.57,0.64,0.62,0,0,175.00,-,-,852,0.6,313,Profile 1,-60,-3,2,15,15,20,1.8897,668.00,2.4,1220.00,574.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,208,
2021,7,19,18,53,57,-,-,-,-,-,-,-,72.10,166.00,255.00,494.00,549.00,792.00,1010.00,1070.00,1180.00,1240.00,1290.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.11%,0.21%,0.39%,0.90%,1.73%,3.82%,8.05%,13.00%,17.30%,37.00%,74.30%,1,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0.84,0.68,0.62,0.59,0.59,0.66,0.55,0.57,0.58,0.64,0.63,0.63,0.66,0,0,146.00,-,-,468,0.4,306,Profile 1,-60,-3,2,15,15,20,1.9108,905.00,1.98,1300.00,792.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,209,
2021,7,19,18,45,46,-,-,-,-,-,-,-,242.00,410.00,483.00,547.00,578.00,749.00,941.00,980.00,1190.00,1310.00,1410.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.04%,0.06%,0.08%,0.12%,0.21%,0.50%,0.79%,1.58%,6.96%,41.10%,82.70%,1,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0.85,0.44,0.44,0.55,0.51,0.65,0.54,0.72,0.61,0.62,0.66,0.54,0.68,0,0,154.00,-,-,136,0.39,476,Profile 1,-60,-3,2,15,15,20,2.9032,850.00,3.59,1440.00,749.00,-,-,-,-,-,-,-,-,-,-,-,-,-,1,210,
